,reward,mailer_type,income_level,n_bank_accounts_open,overdraft_protection,credit_rating,n_credit_cards_held,n_homes_owned,household_size,own_your_home,average_balance,q1_balance,q2_balance,q3_balance,q4_balance,offer_accepted
2128,Cash Back,Letter,Medium,2,No,Low,2,2,3,No,1565.0,1034.0,1591.0,2164.0,1471.0,No
1120,Air Miles,Postcard,Low,1,No,High,1,1,4,Yes,214.75,257.0,95.0,309.0,198.0,No
11724,Air Miles,Letter,Low,2,No,Medium,3,2,4,Yes,901.0,73.0,998.0,880.0,1653.0,No
10152,Air Miles,Letter,Low,2,No,Low,2,1,1,No,1046.75,41.0,1527.0,1601.0,1018.0,No
1515,Points,Postcard,Medium,1,No,High,2,1,2,Yes,198.25,115.0,161.0,189.0,328.0,No
9040,Cash Back,Letter,Medium,2,No,High,2,1,2,Yes,762.75,922.0,644.0,651.0,834.0,No
8097,Points,Postcard,Medium,1,No,High,1,1,2,Yes,1309.5,980.0,1793.0,1803.0,662.0,No
9850,Air Miles,Postcard,Low,1,No,High,2,1,5,Yes,1095.75,539.0,469.0,1364.0,2011.0,No
15704,Points,Letter,Medium,1,No,Low,1,1,3,Yes,1237.5,1776.0,1214.0,1117.0,843.0,No
11585,Cash Back,Postcard,Medium,1,No,Medium,2,1,6,Yes,1071.5,1754.0,1393.0,671.0,468.0,No
9975,Points,Letter,Medium,1,No,Low,2,1,3,Yes,1111.75,405.0,1505.0,1208.0,1329.0,No
8046,Air Miles,Postcard,Medium,1,Yes,High,2,1,1,Yes,802.25,709.0,848.0,850.0,802.0,No
15649,Cash Back,Letter,Low,1,No,Low,1,1,1,Yes,1107.0,614.0,1385.0,1796.0,633.0,No
15176,Points,Postcard,Medium,1,No,High,2,1,5,No,1169.75,355.0,1030.0,1518.0,1776.0,No
6999,Air Miles,Postcard,High,1,No,Medium,3,1,5,Yes,1302.5,1739.0,1348.0,1142.0,981.0,No
11691,Cash Back,Postcard,High,1,No,High,3,1,5,Yes,195.25,154.0,192.0,24.0,411.0,No
16693,Cash Back,Postcard,High,2,No,Low,2,1,4,Yes,1036.0,1587.0,1572.0,668.0,317.0,No
8818,Cash Back,Letter,Low,1,No,Medium,1,1,5,Yes,1153.75,703.0,955.0,1222.0,1735.0,No
1355,Air Miles,Letter,High,1,No,Low,2,1,6,Yes,973.75,847.0,1100.0,1403.0,545.0,No
13191,Cash Back,Postcard,Medium,1,Yes,High,2,1,1,Yes,252.0,368.0,233.0,356.0,51.0,No
15816,Cash Back,Letter,Medium,1,No,Low,2,1,1,Yes,752.75,675.0,750.0,739.0,847.0,No
15332,Cash Back,Letter,Medium,1,No,High,1,1,3,No,1252.25,1541.0,1707.0,769.0,992.0,No
15510,Cash Back,Postcard,Medium,1,Yes,Low,2,1,4,No,1095.75,801.0,784.0,862.0,1936.0,Yes
13546,Cash Back,Postcard,Medium,2,No,High,1,1,4,Yes,1235.25,1844.0,1434.0,1180.0,483.0,No
6821,Air Miles,Postcard,Low,1,No,Medium,4,1,4,Yes,1158.0,423.0,1249.0,2084.0,876.0,No
7371,Cash Back,Letter,High,1,No,Low,2,1,4,Yes,1307.25,2194.0,897.0,1251.0,887.0,No
14210,Points,Postcard,High,1,No,High,2,1,3,Yes,1114.75,195.0,1010.0,1465.0,1789.0,No
3602,Cash Back,Postcard,Low,2,No,Low,1,1,3,Yes,974.25,1646.0,1306.0,917.0,28.0,No
8069,Points,Postcard,Low,2,No,High,3,1,2,No,688.25,519.0,973.0,554.0,707.0,No
6905,Air Miles,Postcard,Medium,1,No,High,3,1,4,Yes,806.25,928.0,709.0,713.0,875.0,No
3993,Cash Back,Letter,Medium,2,No,High,1,1,2,No,260.75,130.0,459.0,140.0,314.0,No
7770,Cash Back,Letter,High,1,No,Medium,1,1,5,Yes,1174.0,442.0,1805.0,1716.0,733.0,No
11676,Air Miles,Letter,Medium,1,No,Medium,4,1,3,Yes,1065.75,1958.0,1346.0,429.0,530.0,No
343,Cash Back,Letter,Medium,2,No,High,1,2,4,Yes,1057.75,1813.0,830.0,582.0,1006.0,No
7336,Points,Letter,Medium,2,Yes,Low,2,1,4,No,296.5,319.0,344.0,133.0,390.0,No
16098,Cash Back,Postcard,Medium,2,No,Medium,3,1,6,No,799.5,37.0,945.0,1629.0,587.0,No
1134,Points,Letter,Medium,1,No,Low,1,1,2,No,1813.0,1901.0,1947.0,1771.0,1633.0,No
4410,Points,Postcard,Low,1,No,Low,1,1,4,Yes,1307.5,704.0,1415.0,1804.0,1307.0,No
9685,Cash Back,Postcard,Medium,2,No,Low,2,1,6,Yes,800.5,663.0,761.0,780.0,998.0,No
7441,Cash Back,Postcard,High,1,No,High,2,1,4,Yes,673.0,607.0,878.0,585.0,622.0,No
9810,Points,Letter,Medium,1,No,High,3,1,3,Yes,1014.0,1939.0,1336.0,721.0,60.0,No
17888,Points,Postcard,High,1,No,Low,3,1,3,No,885.0,741.0,954.0,920.0,925.0,No
13756,Cash Back,Postcard,High,1,Yes,Medium,2,1,6,No,1218.5,1181.0,1495.0,1425.0,773.0,No
12697,Cash Back,Postcard,Medium,1,Yes,Medium,2,1,3,Yes,689.75,720.0,826.0,502.0,711.0,No
12435,Cash Back,Postcard,Low,2,No,High,1,1,2,Yes,947.25,427.0,975.0,1441.0,946.0,No
2364,Air Miles,Postcard,Medium,1,Yes,Low,1,1,4,No,1093.0,62.0,1357.0,1073.0,1880.0,No
12402,Points,Postcard,Low,2,No,High,2,2,3,No,807.25,962.0,592.0,732.0,943.0,No
2765,Air Miles,Postcard,Low,1,No,Low,1,1,5,Yes,769.75,1202.0,1193.0,409.0,275.0,No
7536,Air Miles,Postcard,Medium,1,No,Medium,1,2,4,Yes,1146.25,744.0,823.0,1648.0,1370.0,No
15629,Cash Back,Postcard,Medium,1,No,Medium,2,2,3,Yes,1211.0,486.0,1650.0,1869.0,839.0,No
16873,Points,Postcard,High,2,No,Medium,2,2,5,Yes,1094.5,836.0,984.0,851.0,1707.0,No
8102,Cash Back,Postcard,High,1,Yes,High,1,1,4,No,705.25,653.0,856.0,678.0,634.0,No
951,Air Miles,Letter,Medium,1,No,Low,2,1,5,Yes,1302.25,2047.0,1477.0,1348.0,337.0,No
11804,Points,Postcard,High,1,No,Medium,1,3,3,Yes,1275.25,1493.0,1311.0,1324.0,973.0,No
639,Air Miles,Postcard,Medium,2,Yes,Low,2,1,3,Yes,1074.75,325.0,459.0,1605.0,1910.0,Yes
12956,Cash Back,Postcard,Medium,1,No,High,2,1,4,No,988.0,1646.0,1489.0,563.0,254.0,No
2722,Points,Letter,Medium,1,No,Low,2,1,3,Yes,1336.25,921.0,1350.0,889.0,2185.0,No
5296,Points,Letter,Medium,1,No,Medium,1,1,4,No,1932.0,1985.0,1976.0,1846.0,1921.0,No
16639,Air Miles,Postcard,Medium,1,No,High,2,1,4,Yes,1188.5,966.0,891.0,2091.0,806.0,No
4538,Cash Back,Postcard,Medium,1,No,Low,2,2,4,Yes,982.0,1799.0,1214.0,838.0,77.0,No
14606,Air Miles,Letter,Medium,1,No,Medium,2,2,3,Yes,323.75,347.0,471.0,363.0,114.0,No
16557,Cash Back,Postcard,Medium,2,No,Medium,2,1,3,Yes,1079.5,1775.0,868.0,697.0,978.0,No
1717,Cash Back,Postcard,Medium,1,No,Medium,3,1,3,Yes,1097.75,68.0,818.0,1760.0,1745.0,No
6287,Cash Back,Postcard,Medium,1,No,High,3,1,1,No,951.0,275.0,1020.0,1535.0,974.0,No
3731,Air Miles,Letter,Medium,1,No,Medium,2,1,4,Yes,1255.0,796.0,1712.0,1689.0,823.0,No
505,Cash Back,Postcard,High,1,No,Medium,2,1,5,No,845.0,1480.0,1078.0,589.0,233.0,No
1677,Points,Letter,Medium,1,No,High,2,1,3,No,921.25,1699.0,1140.0,811.0,35.0,No
15147,Air Miles,Postcard,High,1,No,Medium,2,1,1,Yes,936.75,1510.0,1174.0,681.0,382.0,No
13928,Air Miles,Letter,Medium,2,No,Low,2,1,3,Yes,182.0,168.0,319.0,134.0,107.0,No
13650,Air Miles,Postcard,High,1,No,Medium,2,1,3,Yes,1176.5,867.0,1551.0,1774.0,514.0,No
15739,Points,Postcard,High,1,No,Low,4,2,2,Yes,1752.25,1934.0,1709.0,1533.0,1833.0,Yes
15583,Air Miles,Letter,Low,2,No,Medium,1,2,2,Yes,1068.5,1920.0,1455.0,807.0,92.0,No
146,Air Miles,Postcard,Low,1,No,Medium,1,2,3,No,1153.5,311.0,1460.0,1584.0,1259.0,No
3488,Air Miles,Letter,Medium,1,No,High,2,1,4,Yes,985.25,407.0,821.0,1560.0,1153.0,No
16090,Cash Back,Letter,Medium,2,No,Low,2,1,2,Yes,991.5,1513.0,1428.0,630.0,395.0,No
14193,Air Miles,Letter,Medium,1,No,High,2,1,2,No,962.5,1598.0,1131.0,771.0,350.0,No
15403,Cash Back,Letter,High,1,Yes,Low,2,1,4,Yes,956.75,875.0,1175.0,1204.0,573.0,Yes
1754,Air Miles,Postcard,Medium,1,No,Low,1,1,5,Yes,1135.0,1999.0,1279.0,902.0,360.0,No
16070,Cash Back,Letter,Medium,1,No,High,2,1,5,No,782.75,543.0,668.0,921.0,999.0,No
11544,Air Miles,Postcard,High,1,No,Medium,1,1,3,No,892.25,1220.0,858.0,752.0,739.0,No
17274,Cash Back,Letter,Medium,1,Yes,High,1,1,3,No,1050.0,581.0,1013.0,1461.0,1145.0,No
13092,Points,Postcard,Medium,2,No,High,1,1,5,Yes,1091.5,1921.0,1792.0,586.0,67.0,No
14202,Cash Back,Postcard,Medium,1,No,High,1,2,6,Yes,1268.25,916.0,1328.0,2168.0,661.0,No
6476,Points,Postcard,High,1,No,Medium,2,2,5,Yes,325.25,249.0,472.0,367.0,213.0,Yes
12964,Cash Back,Letter,High,1,No,Medium,2,1,4,No,1420.75,784.0,1152.0,1561.0,2186.0,No
14267,Air Miles,Letter,Low,2,No,Medium,3,1,4,Yes,318.5,134.0,462.0,215.0,463.0,Yes
13538,Cash Back,Postcard,High,2,No,High,3,1,2,No,912.75,1514.0,1229.0,563.0,345.0,No
3510,Air Miles,Postcard,Low,2,No,Low,2,1,4,No,1093.5,751.0,1459.0,1614.0,550.0,No
7191,Air Miles,Postcard,High,2,No,Low,3,1,3,Yes,1146.5,34.0,1605.0,1695.0,1252.0,No
1546,Air Miles,Letter,High,1,No,Medium,1,1,3,Yes,1399.0,951.0,645.0,2219.0,1781.0,Yes
5916,Points,Letter,Medium,2,No,Low,1,1,3,No,861.75,85.0,857.0,1612.0,893.0,No
11162,Cash Back,Letter,Medium,1,No,Medium,2,2,4,Yes,1368.25,1086.0,1448.0,1812.0,1127.0,No
6027,Points,Letter,Medium,1,No,Medium,1,2,3,Yes,1232.75,730.0,1757.0,1522.0,922.0,No
10532,Air Miles,Postcard,Low,1,No,Medium,3,2,3,Yes,998.0,692.0,908.0,1843.0,549.0,No
14092,Points,Postcard,Low,1,No,Medium,1,2,4,Yes,926.5,1854.0,1203.0,536.0,113.0,Yes
3808,Points,Letter,High,1,No,High,2,1,5,Yes,218.25,140.0,271.0,176.0,286.0,No
183,Points,Postcard,Medium,1,No,Medium,2,1,5,No,124.75,90.0,154.0,78.0,177.0,No
14326,Points,Postcard,High,2,No,Low,2,1,5,No,728.0,825.0,568.0,730.0,789.0,No
17132,Cash Back,Letter,Medium,1,No,Medium,2,1,4,Yes,820.5,716.0,858.0,971.0,737.0,No
10183,Cash Back,Letter,Medium,1,No,Medium,2,1,3,No,770.75,888.0,899.0,679.0,617.0,No
15321,Cash Back,Letter,High,2,No,Medium,1,1,2,No,1067.5,460.0,1472.0,1406.0,932.0,No
13717,Air Miles,Postcard,Medium,3,No,High,3,1,4,Yes,1056.75,1761.0,1443.0,679.0,344.0,No
5026,Cash Back,Postcard,Medium,2,No,Medium,2,1,3,Yes,1054.75,1447.0,1322.0,1174.0,276.0,No
17085,Cash Back,Postcard,Medium,1,No,Low,2,2,4,Yes,1771.0,1937.0,1659.0,1797.0,1691.0,No
14675,Air Miles,Postcard,Low,1,Yes,High,1,1,4,No,1261.0,886.0,1254.0,1636.0,1268.0,No
10355,Cash Back,Letter,Medium,1,Yes,Low,2,1,2,Yes,1026.5,1485.0,1647.0,884.0,90.0,No
15131,Air Miles,Letter,Medium,1,No,Low,3,2,4,No,1331.5,939.0,725.0,1843.0,1819.0,No
6815,Air Miles,Letter,Medium,1,No,Low,2,1,3,No,1078.5,611.0,861.0,1615.0,1227.0,No
12921,Points,Letter,Medium,2,No,Low,2,2,2,Yes,1345.5,1740.0,1672.0,940.0,1030.0,No
16074,Cash Back,Letter,High,1,No,High,2,1,6,Yes,1729.0,1933.0,1502.0,1656.0,1825.0,No
14974,Cash Back,Postcard,Medium,1,No,High,1,1,5,Yes,836.25,713.0,981.0,887.0,764.0,No
1432,Air Miles,Letter,Low,2,No,High,2,2,4,Yes,395.5,125.0,471.0,488.0,498.0,No
13337,Cash Back,Letter,Medium,2,No,Medium,2,1,5,No,1159.25,618.0,1179.0,1393.0,1447.0,No
2650,Air Miles,Letter,Medium,1,No,Low,2,1,4,Yes,1045.75,528.0,1145.0,1261.0,1249.0,No
4368,Points,Letter,High,1,No,Medium,2,2,4,Yes,1068.25,761.0,1343.0,1472.0,697.0,No
10421,Air Miles,Letter,Medium,1,No,Medium,1,1,3,No,992.5,1358.0,1634.0,857.0,121.0,No
12076,Air Miles,Postcard,Low,1,No,Low,3,1,3,No,219.25,270.0,114.0,203.0,290.0,No
6325,Air Miles,Postcard,High,1,No,Medium,2,1,3,Yes,705.5,724.0,820.0,500.0,778.0,No
17262,Air Miles,Letter,Low,2,No,High,2,2,4,Yes,1074.25,91.0,1361.0,1162.0,1683.0,No
12944,Points,Letter,Medium,1,No,Medium,2,2,4,Yes,205.5,462.0,51.0,104.0,205.0,No
15575,Air Miles,Letter,Medium,1,No,Low,1,2,3,No,1076.5,1490.0,1600.0,621.0,595.0,No
14979,Air Miles,Postcard,High,2,No,High,2,1,3,Yes,1085.0,824.0,1078.0,1745.0,693.0,No
16899,Points,Postcard,Medium,1,No,High,2,2,4,No,808.0,1290.0,833.0,1023.0,86.0,No
7699,Air Miles,Postcard,Medium,2,No,High,1,1,4,Yes,898.75,1842.0,1223.0,523.0,7.0,No
5979,Cash Back,Postcard,Medium,1,Yes,Medium,2,1,3,Yes,1116.75,563.0,695.0,1540.0,1669.0,No
10017,Points,Postcard,Medium,1,No,High,2,1,3,No,1323.25,1316.0,1230.0,2166.0,581.0,No
2932,Points,Postcard,Medium,1,No,Low,2,1,4,No,921.0,1656.0,1026.0,510.0,492.0,No
6539,Air Miles,Letter,Low,2,No,Low,2,1,5,Yes,734.25,815.0,839.0,564.0,719.0,No
11753,Air Miles,Letter,Low,2,No,Medium,2,1,3,Yes,941.5,1817.0,1078.0,742.0,129.0,No
14555,Points,Postcard,Low,1,No,High,1,1,2,No,1072.0,1288.0,1249.0,1295.0,456.0,No
8552,Air Miles,Postcard,Medium,2,No,Medium,1,2,2,No,1074.75,1665.0,1238.0,899.0,497.0,No
7192,Cash Back,Letter,High,1,No,Low,2,1,2,Yes,917.0,1708.0,1052.0,506.0,402.0,No
8193,Points,Postcard,Medium,1,No,High,4,2,2,No,189.0,184.0,61.0,294.0,217.0,No
17836,Points,Letter,Medium,2,No,Medium,2,1,3,Yes,1199.25,1325.0,986.0,2058.0,428.0,No
663,Air Miles,Letter,Low,1,Yes,Medium,2,2,2,No,1021.5,1718.0,1277.0,690.0,401.0,No
5794,Cash Back,Postcard,Low,2,No,Medium,2,1,5,Yes,1025.0,938.0,848.0,994.0,1320.0,No
4938,Points,Letter,High,1,No,High,2,1,5,No,1031.0,1852.0,1204.0,676.0,392.0,No
14515,Air Miles,Postcard,High,1,Yes,Medium,3,1,4,Yes,286.0,496.0,289.0,115.0,244.0,No
14410,Cash Back,Postcard,Medium,2,No,Low,2,2,4,Yes,1096.75,1748.0,1479.0,713.0,447.0,No
1387,Cash Back,Letter,High,1,No,Medium,3,1,2,Yes,1689.0,1581.0,1617.0,1634.0,1924.0,No
5986,Cash Back,Postcard,Medium,1,No,High,2,1,3,No,776.25,715.0,1025.0,937.0,428.0,No
2348,Air Miles,Postcard,Medium,1,No,Medium,2,2,5,Yes,1303.75,1471.0,903.0,1986.0,855.0,No
13523,Points,Postcard,Medium,1,No,Low,2,1,5,Yes,947.0,339.0,1340.0,1540.0,569.0,No
5245,Points,Letter,High,1,No,High,1,1,4,Yes,938.75,407.0,1196.0,1540.0,612.0,No
17797,Cash Back,Postcard,Medium,2,No,Low,2,1,2,Yes,891.75,324.0,1407.0,1273.0,563.0,No
5477,Air Miles,Letter,Low,1,No,High,2,1,1,Yes,1132.75,1462.0,1670.0,1208.0,191.0,No
4885,Cash Back,Letter,Medium,1,No,Low,2,1,5,No,1155.75,447.0,581.0,1519.0,2076.0,No
7379,Points,Letter,Medium,1,No,High,4,1,4,Yes,967.0,1560.0,1256.0,735.0,317.0,No
9490,Points,Letter,Low,1,No,High,2,1,6,Yes,1059.5,1897.0,1274.0,975.0,92.0,No
3029,Cash Back,Letter,Medium,1,No,Medium,1,2,5,Yes,1828.0,1884.0,1713.0,1829.0,1886.0,No
16867,Air Miles,Postcard,Low,1,No,High,1,1,2,Yes,1148.75,710.0,758.0,1594.0,1533.0,No
6041,Points,Letter,Medium,2,No,Medium,2,1,4,Yes,1242.5,1293.0,1770.0,1126.0,781.0,No
11026,Cash Back,Postcard,Low,1,No,High,2,1,1,Yes,895.75,637.0,1210.0,1280.0,456.0,No
5918,Points,Letter,Low,1,No,Low,3,1,3,No,321.5,370.0,310.0,127.0,479.0,Yes
4582,Cash Back,Letter,Low,2,No,Low,2,2,4,Yes,982.0,1800.0,1370.0,638.0,120.0,No
17990,Air Miles,Letter,Medium,1,No,High,1,1,3,Yes,335.75,447.0,378.0,274.0,244.0,No
3326,Points,Letter,Low,2,No,High,3,1,3,No,1124.25,1443.0,1524.0,744.0,786.0,No
3094,Air Miles,Letter,Low,2,Yes,High,1,1,4,Yes,243.5,63.0,278.0,205.0,428.0,No
15141,Air Miles,Postcard,High,2,No,Low,1,1,4,Yes,1066.0,1044.0,409.0,1436.0,1375.0,No
5519,Cash Back,Postcard,Low,1,No,High,1,2,3,Yes,1780.0,1612.0,1727.0,1817.0,1964.0,No
5877,Air Miles,Letter,Low,1,No,Medium,3,1,4,No,1172.0,488.0,634.0,1579.0,1987.0,No
15558,Points,Letter,Medium,1,Yes,Medium,1,1,2,Yes,1001.75,1662.0,1391.0,638.0,316.0,No
17755,Cash Back,Postcard,Medium,1,Yes,Low,2,3,4,Yes,1153.5,314.0,976.0,1458.0,1866.0,No
3249,Air Miles,Letter,Low,1,No,High,2,1,3,No,925.75,14.0,1198.0,1820.0,671.0,No
14839,Air Miles,Postcard,Medium,2,No,High,3,1,4,Yes,1134.25,1699.0,1474.0,931.0,433.0,No
1840,Air Miles,Postcard,Medium,2,Yes,Medium,1,1,2,No,205.5,209.0,239.0,1.0,373.0,No
15185,Cash Back,Letter,Medium,1,No,Medium,1,1,5,No,194.5,24.0,419.0,86.0,249.0,No
15877,Points,Letter,Medium,1,No,High,2,1,3,No,1064.25,1539.0,1768.0,420.0,530.0,No
14708,Cash Back,Letter,Medium,1,No,Medium,3,1,2,Yes,1060.5,1600.0,1003.0,1210.0,429.0,No
4679,Air Miles,Postcard,Medium,1,No,High,2,1,5,Yes,1036.0,1919.0,1313.0,910.0,2.0,No
8462,Points,Letter,Medium,1,No,Low,2,1,4,Yes,777.25,140.0,931.0,1047.0,991.0,No
9486,Points,Postcard,Low,1,No,High,2,1,3,Yes,756.0,884.0,882.0,568.0,690.0,No
6363,Cash Back,Letter,High,1,No,Low,1,1,3,No,882.75,1801.0,1055.0,648.0,27.0,No
7830,Points,Postcard,Medium,1,No,Low,1,1,4,Yes,991.5,263.0,1463.0,1250.0,990.0,Yes
6940,Cash Back,Postcard,Low,1,No,Medium,2,2,4,Yes,978.25,357.0,854.0,2046.0,656.0,No
2651,Points,Postcard,Medium,1,No,High,1,1,4,No,1330.75,978.0,1597.0,2255.0,493.0,No
4552,Air Miles,Postcard,Low,1,No,High,3,1,4,Yes,1207.75,234.0,1082.0,1682.0,1833.0,No
6115,Air Miles,Postcard,Medium,2,No,High,1,1,3,Yes,946.0,1505.0,1500.0,587.0,192.0,No
15560,Cash Back,Letter,High,1,No,Low,1,1,4,Yes,178.75,410.0,245.0,30.0,30.0,No
11234,Air Miles,Postcard,High,1,No,Medium,1,1,5,No,661.25,586.0,806.0,706.0,547.0,No
7200,Air Miles,Postcard,Medium,1,No,Medium,2,1,2,Yes,789.5,1202.0,1241.0,617.0,98.0,No
8916,Air Miles,Letter,Medium,1,No,Medium,2,1,4,No,1250.75,723.0,1410.0,1662.0,1208.0,No
11441,Air Miles,Letter,High,1,No,High,2,2,4,Yes,1382.25,875.0,954.0,1676.0,2024.0,No
7635,Points,Letter,Medium,1,No,Low,3,1,3,Yes,1050.25,379.0,1436.0,1494.0,892.0,No
3569,Cash Back,Letter,Low,1,No,Medium,2,1,3,Yes,870.25,1305.0,949.0,439.0,788.0,No
3634,Points,Postcard,Medium,2,No,High,2,1,5,No,1143.25,507.0,1524.0,1922.0,620.0,No
9068,Cash Back,Letter,Medium,2,No,High,2,1,5,No,1457.75,848.0,1893.0,1279.0,1811.0,No
17053,Points,Letter,Low,2,No,High,4,1,3,No,1241.25,913.0,1308.0,1953.0,791.0,No
12529,Points,Letter,Medium,1,No,Low,1,1,4,Yes,1124.25,753.0,1758.0,1069.0,917.0,No
